TimeGenerated,MachineName,AppName,AppCategory,AppScore,TotalMBytes
2022-11-26 22:06:35.945300100,workstation02,Office Portal,Collaboration,10,0.035019874572753906
2022-11-26 22:06:35.945300100,workstation01,CloudFlare,Security,7,0.7303733825683594
2022-11-26 22:06:35.945300100,workstation01,Amazon CloudFront,Hosting services,10,0.47785091400146484
2022-11-26 22:06:35.945300100,workstation02,Microsoft Online Services,IT services,10,0.3376321792602539
2022-11-26 22:06:35.945300100,workstation01,Microsoft Online Services,IT services,10,0.6767139434814453
2022-11-26 22:06:35.945300100,workstation01,Microsoft Teams,Online meetings,10,0.2604684829711914
2022-11-26 22:06:35.945300100,workstation01,Amazon Web Services,Cloud computing platform,10,0.15282821655273438
2022-11-26 22:06:35.945300100,workstation01,Microsoft Teams,Online meetings,10,0.5876274108886719
2022-11-26 22:06:35.945300100,workstation02,Amazon CloudFront,Hosting services,10,1.6004791259765625
2022-11-26 22:06:35.945300100,workstation01,CloudFlare,Security,7,0.03299713134765625
2022-11-26 22:06:35.945300100,workstation01,Yahoo!,News and entertainment,5,0.05594348907470703
2022-11-26 22:06:35.945300100,workstation02,CloudFlare,Security,7,1.2962331771850586
2022-11-26 22:06:35.945300100,workstation01,Office Portal,Collaboration,10,0.03988933563232422
2022-11-26 22:06:35.945300100,workstation01,Akamai,Security,7,29.594148635864258
2022-11-26 22:06:35.945300100,workstation01,Microsoft MSN,News and entertainment,10,0.31894397735595703
2022-11-26 22:06:35.945300100,workstation01,Azure CDN Edge Nodes,Hosting services,10,0.21277427673339844
2022-11-26 22:06:35.945300100,workstation01,Akamai,Security,7,4.246217727661133
2022-11-26 22:06:35.945300100,workstation01,Microsoft Exchange Online,Webmail,10,0.43099308013916016
2022-11-26 22:06:35.945300100,workstation01,Microsoft Office Online,Collaboration,10,0.026561737060546875
2022-11-26 22:06:35.945300100,workstation02,Microsoft Exchange Online,Webmail,10,0.09319591522216797
2022-11-26 22:06:35.945300100,workstation02,Microsoft Office Online,Collaboration,10,0.024979591369628906
2022-11-26 22:06:35.945300100,workstation01,Akamai,Security,7,20.157774925231934
2022-11-26 22:06:35.945300100,workstation02,Microsoft Exchange Online,Webmail,10,3.1185083389282227
2022-11-26 22:06:35.945300100,workstation01,Akamai,Security,7,1.7583293914794922
2022-11-26 22:06:35.945300100,workstation02,Fastly,Cloud computing platform,7,0.7128362655639648
2022-11-26 22:06:35.945300100,workstation02,Google,Content management,9,3.4860334396362305
2022-11-26 22:06:35.945300100,workstation01,Microsoft Live,Productivity,10,0.22755050659179688
2022-11-26 22:06:35.945300100,workstation01,Amazon Web Services,Cloud computing platform,10,0.09047412872314453
2022-11-26 22:06:35.945300100,workstation01,Netizen,Advertising,4,0.18354511260986328
2022-11-26 22:06:35.945300100,workstation01,Amazon CloudFront,Hosting services,10,0.746922492980957
2022-11-26 22:06:35.945300100,workstation01,Amazon CloudFront,Hosting services,10,2.6133270263671875
2022-11-26 22:06:35.945300100,workstation01,CloudFlare,Security,7,0.0997934341430664
2022-11-26 22:06:35.945300100,workstation01,CloudFlare,Security,7,2.2104063034057617
2022-11-26 22:06:35.945300100,workstation01,AAA,Transportation and travel,4,1.7446460723876953
2022-11-26 22:06:35.945300100,workstation01,LibraryH3lp,Personal instant messaging,4,0.1770792007446289
2022-11-26 22:06:35.945300100,workstation01,Amazon CloudFront,Hosting services,10,0.045639991760253906
2022-11-26 22:06:35.945300100,workstation01,Amazon Web Services,Cloud computing platform,10,0.06345653533935547
2022-11-26 22:06:35.945300100,workstation01,Akamai,Security,7,4.596007347106934
2022-11-26 22:06:35.945300100,workstation02,Amazon Web Services,Cloud computing platform,10,2.0811843872070312
2022-11-26 22:06:35.945300100,workstation01,Yahoo!,News and entertainment,5,0.030968666076660156
2022-11-26 22:06:35.945300100,workstation01,CloudFlare,Security,7,0.3804197311401367
2022-11-26 22:06:35.945300100,workstation01,Microsoft Online Services,IT services,10,22.76535701751709
2022-11-26 22:06:35.945300100,workstation01,Microsoft Infrastructure Apps,Security,10,0.03209686279296875
2022-11-26 22:06:35.945300100,workstation02,Microsoft Teams,Online meetings,10,0.5859689712524414
2022-11-26 22:06:35.945300100,workstation01,Microsoft Exchange Online,Webmail,10,0.07724475860595703
2022-11-26 22:06:35.945300100,workstation01,Fastly,Cloud computing platform,7,0.7242727279663086
2022-11-26 22:06:35.945300100,workstation01,Microsoft Exchange Online,Webmail,10,0.9713420867919922
2022-11-26 22:06:35.945300100,workstation01,Amazon Web Services,Cloud computing platform,10,0.03594207763671875
2022-11-26 22:06:35.945300100,workstation01,Fastly,Cloud computing platform,7,0.6517219543457031
2022-11-26 22:06:35.945300100,workstation01,Google,Content management,9,0.8349370956420898
2022-11-26 22:06:35.945300100,workstation01,Google,Content management,9,0.030358314514160156
2022-11-26 22:06:35.945300100,workstation01,Amazon Web Services,Cloud computing platform,10,0.07323074340820312
2022-11-26 22:06:35.945300100,workstation01,Microsoft Exchange Online,Webmail,10,0.47678089141845703
2022-11-26 22:06:35.945300100,workstation01,Fastly,Cloud computing platform,7,0.0986623764038086
2022-11-26 22:06:35.945300100,workstation02,Microsoft Teams,Online meetings,10,0.06693077087402344
2022-11-26 22:06:35.945300100,workstation02,Microsoft Skype for Business,Online meetings,10,0.06440162658691406
2022-11-26 22:06:35.945300100,workstation02,Azure CDN Edge Nodes,Hosting services,10,0.6578893661499023
2022-11-26 22:06:35.945300100,workstation01,Google,Content management,9,0.07083892822265625
2022-11-26 22:06:35.945300100,workstation01,CloudFlare,Security,7,1.3263626098632812
2022-11-26 22:06:35.945300100,workstation01,Trumba Connect,Operations management,5,6.489748954772949
2022-11-26 22:06:35.945300100,workstation01,Amazon Web Services,Cloud computing platform,10,0.057369232177734375
2022-11-26 22:06:35.945300100,workstation01,AAA,Transportation and travel,4,1.1323890686035156
2022-11-26 22:06:35.945300100,workstation01,Microsoft Online Services,IT services,10,0.024720191955566406
2022-11-26 19:06:38.158864700,workstation02,Office Portal,Collaboration,10,0.10956382751464844
2022-11-26 19:06:38.158864700,workstation01,CloudFlare,Security,7,0.16441631317138672
2022-11-26 19:06:38.158864700,workstation01,Office Portal,Collaboration,10,0.030427932739257812
2022-11-26 19:06:38.158864700,workstation01,Twitter,Social network,6,0.3353414535522461
2022-11-26 19:06:38.158864700,workstation01,Amazon CloudFront,Hosting services,10,0.09689998626708984
2022-11-26 19:06:38.158864700,workstation02,Microsoft Online Services,IT services,10,0.0574951171875
2022-11-26 19:06:38.158864700,workstation01,CloudFlare,Security,7,0.5452728271484375
2022-11-26 19:06:38.158864700,workstation01,AAA,Transportation and travel,4,0.5374984741210938
2022-11-26 19:06:38.158864700,workstation01,LibraryH3lp,Personal instant messaging,4,0.11029243469238281
2022-11-26 19:06:38.158864700,workstation01,Amazon Web Services,Cloud computing platform,10,0.05707740783691406
2022-11-26 19:06:38.158864700,workstation01,LinkedIn marketing solutions,Marketing,10,0.8267412185668945
2022-11-26 19:06:38.158864700,workstation01,Microsoft Teams,Online meetings,10,0.5662317276000977
2022-11-26 19:06:38.158864700,workstation01,Amazon CloudFront,Hosting services,10,0.28510284423828125
2022-11-26 19:06:38.158864700,workstation02,Amazon CloudFront,Hosting services,10,13.498074531555176
2022-11-26 19:06:38.158864700,workstation01,Netizen,Advertising,4,0.02595996856689453
2022-11-26 19:06:38.158864700,workstation02,Amazon Web Services,Cloud computing platform,10,0.616450309753418
2022-11-26 19:06:38.158864700,workstation01,LinkedIn,Social network,10,3.11983585357666
